Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion,Championship_Experience,Wins_Per_Season,Podiums_Per_Season,Points_Per_Season,Win_Efficiency,Podium_Efficiency,Pole_Conversion,Nationality_Encoded
Elmer George,United States,[1957],0.0,-0.5007901490232184,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Bob Gerard,United Kingdom,"[1950, 1951, 1953, 1954, 1956, 1957]",0.0,-0.40776544234795864,8.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,0.6672641841442782,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
Gerino Gerini,Italy,"[1956, 1958]",0.0,-0.4263703836830106,6.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.20446319626263193,0,,1960,0.0,0.8571428571428571,0.0,0.0,0.0,0.2142857142857142,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.75,0.0,0.0,0.0,21
Peter Gethin,United Kingdom,"[1970, 1971, 1972, 1973, 1974]",0.0,0.020148208358235997,30.0,0.0,-0.0381764761675248,-0.19112694092519905,0.0,-0.16872410304629062,0,,1970,0.0,0.967741935483871,0.032258064516129,0.032258064516129,0.0,0.3548387096774194,0.3815289538348389,0,Non-Champion,0.2,0.2,2.2,0.033,0.033,0.0,42
Piercarlo Ghinzani,Italy,"[1981, 1983, 1984, 1985, 1986, 1987, 1988, 1989]",0.0,1.5085435151623912,74.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2025821913565087,0,,1990,0.0,0.6666666666666666,0.0,0.0,0.0,0.018018018018018,1.2387346447631569,0,Non-Champion,0.0,0.0,0.25,0.0,0.0,0.0,21
Bruno Giacomelli,Italy,"[1977, 1978, 1979, 1980, 1981, 1982, 1983, 1990]",0.0,0.969000216445885,69.0,1.0,-0.19230290088106675,-0.19112694092519905,0.0,-0.15743807360955125,0,,1980,0.0121951219512195,0.8414634146341463,0.0,0.0121951219512195,0.0,0.1707317073170731,1.2387346447631569,0,Non-Champion,0.0,0.12,1.75,0.0,0.014,0.0,21
Dick Gibson,United Kingdom,"[1957, 1958]",0.0,-0.5193950903582703,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,1.0,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
Gimax,Italy,[1978],0.0,-0.5380000316933222,0.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1980,0.0,0.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,,,0.0,21
Richie Ginther,United States,"[1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967]",0.0,0.44806185906443063,52.0,0.0,-0.0381764761675248,0.7101168540601525,3.0,0.1736187898681367,0,,1960,0.0,0.9629629629629628,0.0185185185185185,0.2592592592592592,0.0555555555555555,1.8888888888888888,1.2387346447631569,0,Non-Champion,0.12,1.75,12.75,0.019,0.269,0.0,43
Antonio Giovinazzi,Italy,"[2017, 2019, 2020, 2021]",0.0,0.5969013897448461,62.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.13110400492382607,0,,2020,0.0,1.0,0.0,0.0,0.0,0.3387096774193548,0.09579372352539954,0,Non-Champion,0.0,0.0,5.25,0.0,0.0,0.0,21
